Pays,"Taux de surcharge des coûts du logement*, en %","Taux de retards de paiement (loyer ou prêt), en %",filtre
Allemagne,11.2,2.2,Toute l'UE
Autriche,6.5,4.5,Toute l'UE
Belgique,6.7,1.8,Toute l'UE
Bulgarie,6.9,0.8,Toute l'UE
Chypre,2.4,4.5,Toute l'UE
Croatie,3.2,0.3,Toute l'UE
Danemark,23.4,1.9,Toute l'UE
Espagne,7.2,5.2,Toute l'UE
Estonie,8.8,2.1,Toute l'UE
Finlande,4.7,5.0,Toute l'UE
France,6.4,4.9,Toute l'UE
Grèce,26.4,10.6,Toute l'UE
Hongrie,5.3,0.7,Toute l'UE
Irlande,5.3,5.3,Toute l'UE
Italie,5.0,2.0,Toute l'UE
Lettonie,5.7,1.6,Toute l'UE
Lituanie,5.7,0.8,Toute l'UE
Luxembourg,8.1,2.2,Toute l'UE
Malte,6.0,1.8,Toute l'UE
Pays-Bas,6.5,2.0,Toute l'UE
Pologne,4.1,0.6,Toute l'UE
Portugal,6.3,1.9,Toute l'UE
Roumanie,5.0,0.5,Toute l'UE
Slovaquie,3.5,2.1,Toute l'UE
Slovénie,3.5,1.2,Toute l'UE
Suède,10.8,4.2,Toute l'UE
Tchéquie,8.2,2.0,Toute l'UE
Allemagne,11.2,2.2,Sans la Grèce
Autriche,6.5,4.5,Sans la Grèce
Belgique,6.7,1.8,Sans la Grèce
Bulgarie,6.9,0.8,Sans la Grèce
Chypre,2.4,4.5,Sans la Grèce
Croatie,3.2,0.3,Sans la Grèce
Danemark,23.4,1.9,Sans la Grèce
Espagne,7.2,5.2,Sans la Grèce
Estonie,8.8,2.1,Sans la Grèce
Finlande,4.7,5.0,Sans la Grèce
France,6.4,4.9,Sans la Grèce
Hongrie,5.3,0.7,Sans la Grèce
Irlande,5.3,5.3,Sans la Grèce
Italie,5.0,2.0,Sans la Grèce
Lettonie,5.7,1.6,Sans la Grèce
Lituanie,5.7,0.8,Sans la Grèce
Luxembourg,8.1,2.2,Sans la Grèce
Malte,6.0,1.8,Sans la Grèce
Pays-Bas,6.5,2.0,Sans la Grèce
Pologne,4.1,0.6,Sans la Grèce
Portugal,6.3,1.9,Sans la Grèce
Roumanie,5.0,0.5,Sans la Grèce
Slovaquie,3.5,2.1,Sans la Grèce
Slovénie,3.5,1.2,Sans la Grèce
Suède,10.8,4.2,Sans la Grèce
Tchéquie,8.2,2.0,Sans la Grèce
